source_object_class_name,omb_object_class_code,omb_object_class_name,project_object_class_name,sankey_display_label,obba_display_label,personnel_rollup_component,source_label_matches_omb,source_standard,mapping_note
Full-time permanent,11.1,Full-time permanent,Personnel expenses,Personnel expenses,Personnel expenses,yes,yes,"OMB Circular No. A-11 (2025), Section 83 / Exhibit 83A",OMB personnel compensation/benefit classes are rolled into the project's Personnel expenses category.
Other than full-time permanent,11.3,Other than full-time permanent,Personnel expenses,Personnel expenses,Personnel expenses,yes,yes,"OMB Circular No. A-11 (2025), Section 83 / Exhibit 83A",OMB personnel compensation/benefit classes are rolled into the project's Personnel expenses category.
Other personnel compensation,11.5,Other personnel compensation,Personnel expenses,Personnel expenses,Personnel expenses,yes,yes,"OMB Circular No. A-11 (2025), Section 83 / Exhibit 83A",OMB personnel compensation/benefit classes are rolled into the project's Personnel expenses category.
Special personal services payments,11.8,Special personal services payments,Personnel expenses,Personnel expenses,Personnel expenses,yes,yes,"OMB Circular No. A-11 (2025), Section 83 / Exhibit 83A",OMB personnel compensation/benefit classes are rolled into the project's Personnel expenses category.
Civilian personnel benefits,12.1,Civilian personnel benefits,Personnel expenses,Personnel expenses,Personnel expenses,yes,yes,"OMB Circular No. A-11 (2025), Section 83 / Exhibit 83A",OMB personnel compensation/benefit classes are rolled into the project's Personnel expenses category.
Benefits for former personnel,13.0,Benefits for former personnel,Personnel expenses,Personnel expenses,Personnel expenses,yes,yes,"OMB Circular No. A-11 (2025), Section 83 / Exhibit 83A",OMB personnel compensation/benefit classes are rolled into the project's Personnel expenses category.
Travel and transportation of persons,21.0,Travel and transportation of persons,Travel and transportation of persons,Travel and transportation,Travel and transportation,no,yes,"OMB Circular No. A-11 (2025), Section 83 / Exhibit 83A","Project retains the object class, while figure scripts use shorter publication labels."
Transportation of things,22.0,Transportation of things,Transportation of things,Transportation of things,Transportation of things,no,yes,"OMB Circular No. A-11 (2025), Section 83 / Exhibit 83A",Project retains the OMB object class as its own category.
Rental payments to GSA,23.1,Rental payments to GSA,Rental payments to GSA,Rental payments to GSA,Rental payments to GSA,no,yes,"OMB Circular No. A-11 (2025), Section 83 / Exhibit 83A",Project retains the OMB object class as its own category.
Rental payments to others,23.2,Rental payments to others,Rental payments to others,Rental payments to others,Rental payments to others,no,yes,"OMB Circular No. A-11 (2025), Section 83 / Exhibit 83A",Project retains the OMB object class as its own category.
"Communications, utilities, and miscellaneous charges",23.3,"Communications, utilities, and miscellaneous charges","Communications, utilities, and miscellaneous charges","Communications, utilities, and miscellaneous charges","Communications, utilities, and miscellaneous charges",no,yes,"OMB Circular No. A-11 (2025), Section 83 / Exhibit 83A",Project retains the OMB object class as its own category.
Printing and reproduction,24.0,Printing and reproduction,Printing and reproduction,Printing and reproduction,Printing and reproduction,no,yes,"OMB Circular No. A-11 (2025), Section 83 / Exhibit 83A",Project retains the OMB object class as its own category.
Advisory and assistance services,25.1,Advisory and assistance services,Advisory and assistance services,Advisory and assistance,Advisory and assistance services,no,yes,"OMB Circular No. A-11 (2025), Section 83 / Exhibit 83A","Project retains the object class, while figure scripts use shorter publication labels."
Other services from non-Federal sources,25.2,Other services from non-Federal sources,Other services from non-Federal sources,Other services (non-Federal),Other non-federal services,no,yes,"OMB Circular No. A-11 (2025), Section 83 / Exhibit 83A","Project retains the object class, while figure scripts use shorter publication labels."
