agency,source_bucket,object_class_name,amount,snapshot_month,note
ICE,Annual appropriations - current year BA,Personnel expenses,4815092721.81,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
ICE,Annual appropriations - current year BA,Operation and maintenance of facilities,2068609714.96,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
ICE,Annual appropriations - current year BA,Travel and transportation of persons,896648074.90,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
ICE,Annual appropriations - current year BA,Equipment,301962442.89,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
ICE,Annual appropriations - current year BA,Advisory and assistance services,473356518.41,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
ICE,Annual appropriations - current year BA,All other activities,1597040666.60,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
ICE,Annual appropriations - carryover BA,Personnel expenses,7491389.84,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
ICE,Annual appropriations - carryover BA,Operation and maintenance of facilities,7798841.04,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
ICE,Annual appropriations - carryover BA,Travel and transportation of persons,6900601.35,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
ICE,Annual appropriations - carryover BA,Equipment,2723624.57,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
ICE,Annual appropriations - carryover BA,Advisory and assistance services,6700364.13,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
ICE,Annual appropriations - carryover BA,All other activities,87305018.70,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
ICE,Fee revenue,Personnel expenses,4466523.62,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
ICE,Fee revenue,Operation and maintenance of facilities,3957896.88,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
ICE,Fee revenue,Travel and transportation of persons,37763127.95,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
ICE,Fee revenue,Equipment,3157012.24,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
ICE,Fee revenue,Advisory and assistance services,30470962.94,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
ICE,Fee revenue,All other activities,11485271.43,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
ICE,OBBA,Personnel expenses,329429040.63,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
ICE,OBBA,Operation and maintenance of facilities,1078122845.24,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
ICE,OBBA,Travel and transportation of persons,921690732.57,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
ICE,OBBA,Equipment,1282754788.09,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
ICE,OBBA,Advisory and assistance services,62514229.93,2025,"Calendar-year 2025 obligations come from cumulative quarter-end File B snapshots covering Dec. 31, 2024 to Mar. 31, 2025; Mar. 31 to Jun. 30; Jun. 30 to Sep. 30; and Oct. 1 to Dec. 31, 2025. CBP OBBA totals include 070-X-0532-000 rows where File B labels the program activity as FACILITIES (PL 119-21, TITLE IX, SUBTITLE A, SEC. 90002)."
